protein_id	t6ss_system	source_acc	start	end	organism	component
T6CP011374	T6SS00164	NC_008752	1621473	1623806	Acidovorax citrulli AAC00-1	FHA
T6CP012735	T6SS00164	NC_008752	1635702	1636490	Acidovorax citrulli AAC00-1	TagJ
T6CP002243	T6SS00225	NC_009708	3854136	3855746	Yersinia pseudotuberculosis IP 31758	TssL
T6CP002244	T6SS00225	NC_009708	3855743	3857098	Yersinia pseudotuberculosis IP 31758	TssK
T6CP002245	T6SS00225	NC_009708	3857218	3857709	Yersinia pseudotuberculosis IP 31758	TssJ
T6CP002246	T6SS00225	NC_009708	3862044	3864392	Yersinia pseudotuberculosis IP 31758	TssI
T6CP002247	T6SS00225	NC_009708	3864496	3867084	Yersinia pseudotuberculosis IP 31758	TssH
T6CP002248	T6SS00225	NC_009708	3867102	3868085	Yersinia pseudotuberculosis IP 31758	TssG
T6CP002249	T6SS00225	NC_009708	3868078	3869922	Yersinia pseudotuberculosis IP 31758	TssF
T6CP002250	T6SS00225	NC_009708	3869955	3870398	Yersinia pseudotuberculosis IP 31758	TssE
T6CP002251	T6SS00225	NC_009708	3870472	3870990	Yersinia pseudotuberculosis IP 31758	TssD
T6CP002252	T6SS00225	NC_009708	3871153	3872655	Yersinia pseudotuberculosis IP 31758	TssC
T6CP002253	T6SS00225	NC_009708	3872664	3873224	Yersinia pseudotuberculosis IP 31758	TssB
T6CP002254	T6SS00225	NC_009708	3873235	3874248	Yersinia pseudotuberculosis IP 31758	TssA
T6CP011612	T6SS00225	NC_009708	3857702	3858067	Yersinia pseudotuberculosis IP 31758	PAAR
T6CP002506	T6SS00254	NC_010400	2061603	2062409	Acinetobacter baumannii SDF	TssL
T6CP002507	T6SS00254	NC_010400	2062427	2063791	Acinetobacter baumannii SDF	TssK
T6CP002508	T6SS00254	NC_010400	2063808	2064902	Acinetobacter baumannii SDF	TssA
T6CP002509	T6SS00254	NC_010400	2064926	2067607	Acinetobacter baumannii SDF	TssH
T6CP002510	T6SS00254	NC_010400	2069874	2073698	Acinetobacter baumannii SDF	TssM
T6CP002511	T6SS00254	NC_010400	2075138	2076136	Acinetobacter baumannii SDF	TssG
T6CP002512	T6SS00254	NC_010400	2076100	2077911	Acinetobacter baumannii SDF	TssF
T6CP002513	T6SS00254	NC_010400	2077928	2078404	Acinetobacter baumannii SDF	TssE
T6CP002514	T6SS00254	NC_010400	2078484	2078987	Acinetobacter baumannii SDF	TssD
T6CP002515	T6SS00254	NC_010400	2079037	2080518	Acinetobacter baumannii SDF	TssC
T6CP002516	T6SS00254	NC_010400	2080511	2081014	Acinetobacter baumannii SDF	TssB
T6CP011375	T6SS00254	NC_010400	2067827	2068090	Acinetobacter baumannii SDF	PAAR
T6CP011376	T6SS00254	NC_010400	2068107	2068874	Acinetobacter baumannii SDF	TagL
T6CP002544	T6SS00258	NC_010465	1624645	1625838	Yersinia pseudotuberculosis YPIII	TssA
T6CP002545	T6SS00258	NC_010465	1625937	1626962	Yersinia pseudotuberculosis YPIII	TssG
T6CP002546	T6SS00258	NC_010465	1626962	1628842	Yersinia pseudotuberculosis YPIII	TssF
T6CP002547	T6SS00258	NC_010465	1629626	1632283	Yersinia pseudotuberculosis YPIII	TssH
T6CP002548	T6SS00258	NC_010465	1637456	1637980	Yersinia pseudotuberculosis YPIII	TssB
T6CP002549	T6SS00258	NC_010465	1638004	1639506	Yersinia pseudotuberculosis YPIII	TssC
T6CP002550	T6SS00258	NC_010465	1639839	1640324	Yersinia pseudotuberculosis YPIII	TssD
T6CP002551	T6SS00258	NC_010465	1640598	1641137	Yersinia pseudotuberculosis YPIII	TssJ
T6CP002552	T6SS00258	NC_010465	1641141	1642490	Yersinia pseudotuberculosis YPIII	TssK
T6CP002553	T6SS00258	NC_010465	1642487	1643863	Yersinia pseudotuberculosis YPIII	TssL
T6CP002554	T6SS00258	NC_010465	1643872	1647699	Yersinia pseudotuberculosis YPIII	TssM
T6CP002555	T6SS00258	NC_010465	1648026	1650794	Yersinia pseudotuberculosis YPIII	TssI
T6CP002556	T6SS00258	NC_010465	1652892	1653371	Yersinia pseudotuberculosis YPIII	TssE
T6CP009647	T6SS00258	NC_010465	1610481	1610960	Yersinia pseudotuberculosis YPIII	TssD
T6CP011649	T6SS00258	NC_010465	1650893	1651153	Yersinia pseudotuberculosis YPIII	PAAR
T6CP011650	T6SS00258	NC_010465	1619849	1621531	Yersinia pseudotuberculosis YPIII	TagL
T6CP012755	T6SS00258	NC_010465	1652021	1652827	Yersinia pseudotuberculosis YPIII	TagJ
T6CP002565	T6SS00260	NC_010465	3909212	3910822	Yersinia pseudotuberculosis YPIII	TssL
T6CP002566	T6SS00260	NC_010465	3910819	3912174	Yersinia pseudotuberculosis YPIII	TssK
T6CP002567	T6SS00260	NC_010465	3912294	3912785	Yersinia pseudotuberculosis YPIII	TssJ
T6CP002568	T6SS00260	NC_010465	3917120	3919468	Yersinia pseudotuberculosis YPIII	TssI
T6CP002569	T6SS00260	NC_010465	3919572	3922160	Yersinia pseudotuberculosis YPIII	TssH
T6CP002570	T6SS00260	NC_010465	3922178	3923161	Yersinia pseudotuberculosis YPIII	TssG
T6CP002571	T6SS00260	NC_010465	3923154	3924998	Yersinia pseudotuberculosis YPIII	TssF
T6CP002572	T6SS00260	NC_010465	3925031	3925474	Yersinia pseudotuberculosis YPIII	TssE
T6CP002573	T6SS00260	NC_010465	3925548	3926066	Yersinia pseudotuberculosis YPIII	TssD
T6CP002574	T6SS00260	NC_010465	3926229	3927731	Yersinia pseudotuberculosis YPIII	TssC
T6CP002575	T6SS00260	NC_010465	3927740	3928300	Yersinia pseudotuberculosis YPIII	TssB
T6CP002576	T6SS00260	NC_010465	3928311	3929324	Yersinia pseudotuberculosis YPIII	TssA
T6CP011652	T6SS00260	NC_010465	3912778	3913143	Yersinia pseudotuberculosis YPIII	PAAR
T6CP002716	T6SS00272	NC_010554	808353	810089	Proteus mirabilis HI4320	TssF
T6CP002717	T6SS00272	NC_010554	811475	815023	Proteus mirabilis HI4320	TssM
T6CP002718	T6SS00272	NC_010554	817939	820650	Proteus mirabilis HI4320	TssH
T6CP002719	T6SS00272	NC_010554	820659	821414	Proteus mirabilis HI4320	TssL
T6CP002720	T6SS00272	NC_010554	821407	822765	Proteus mirabilis HI4320	TssK
T6CP002721	T6SS00272	NC_010554	822767	823318	Proteus mirabilis HI4320	TssJ
T6CP002722	T6SS00272	NC_010554	824593	825630	Proteus mirabilis HI4320	TssG
T6CP002723	T6SS00272	NC_010554	825594	827369	Proteus mirabilis HI4320	TssF
T6CP002724	T6SS00272	NC_010554	827814	829292	Proteus mirabilis HI4320	TssC
T6CP002725	T6SS00272	NC_010554	829313	829813	Proteus mirabilis HI4320	TssB
T6CP008690	T6SS00272	NC_010554	807789	808262	Proteus mirabilis HI4320	TssD
T6CP008691	T6SS00272	NC_010554	810082	811437	Proteus mirabilis HI4320	TssA
T6CP008692	T6SS00272	NC_010554	815026	816489	Proteus mirabilis HI4320	TssA
T6CP008693	T6SS00272	NC_010554	827377	827808	Proteus mirabilis HI4320	TssE
T6CP008694	T6SS00272	NC_010554	831710	832228	Proteus mirabilis HI4320	TssD
T6CP011670	T6SS00272	NC_010554	823320	824588	Proteus mirabilis HI4320	FHA
T6CP002738	T6SS00274	NC_010625	510771	511343	Paraburkholderia phymatum STM815	TssB
T6CP002739	T6SS00274	NC_010625	511410	512918	Paraburkholderia phymatum STM815	TssC
T6CP002740	T6SS00274	NC_010625	512987	513475	Paraburkholderia phymatum STM815	TssD
T6CP002741	T6SS00274	NC_010625	513551	514006	Paraburkholderia phymatum STM815	TssE
T6CP002742	T6SS00274	NC_010625	514008	515765	Paraburkholderia phymatum STM815	TssF
T6CP002743	T6SS00274	NC_010625	515720	516853	Paraburkholderia phymatum STM815	TssG
T6CP002744	T6SS00274	NC_010625	516865	519594	Paraburkholderia phymatum STM815	TssH
T6CP002745	T6SS00274	NC_010625	519599	521524	Paraburkholderia phymatum STM815	TssI
T6CP002746	T6SS00274	NC_010625	527884	529218	Paraburkholderia phymatum STM815	TssK
T6CP002747	T6SS00274	NC_010625	529280	530032	Paraburkholderia phymatum STM815	TssL
T6CP002748	T6SS00274	NC_010625	530121	534299	Paraburkholderia phymatum STM815	TssM
T6CP002749	T6SS00274	NC_010625	534296	535444	Paraburkholderia phymatum STM815	TssA
T6CP002750	T6SS00275	NC_010625	654398	655630	Paraburkholderia phymatum STM815	TssL
T6CP002751	T6SS00275	NC_010625	655657	659703	Paraburkholderia phymatum STM815	TssM
T6CP002752	T6SS00275	NC_010625	659734	661077	Paraburkholderia phymatum STM815	TssL
T6CP002753	T6SS00275	NC_010625	661145	662491	Paraburkholderia phymatum STM815	TssK
T6CP002754	T6SS00275	NC_010625	662515	663021	Paraburkholderia phymatum STM815	TssJ
T6CP002755	T6SS00275	NC_010625	663139	663624	Paraburkholderia phymatum STM815	TssD
T6CP002756	T6SS00275	NC_010625	663703	665196	Paraburkholderia phymatum STM815	TssC
T6CP002757	T6SS00275	NC_010625	665221	665754	Paraburkholderia phymatum STM815	TssB
T6CP002758	T6SS00275	NC_010625	665804	668524	Paraburkholderia phymatum STM815	TssH
T6CP002759	T6SS00275	NC_010625	670482	671033	Paraburkholderia phymatum STM815	TssE
T6CP002760	T6SS00275	NC_010625	671060	672949	Paraburkholderia phymatum STM815	TssF
T6CP002761	T6SS00275	NC_010625	672949	674037	Paraburkholderia phymatum STM815	TssG
T6CP002762	T6SS00275	NC_010625	674034	675119	Paraburkholderia phymatum STM815	TssA
T6CP002763	T6SS00275	NC_010625	676639	678783	Paraburkholderia phymatum STM815	TssI
T6CP011673	T6SS00275	NC_010625	681696	681950	Paraburkholderia phymatum STM815	PAAR
T6CP012758	T6SS00275	NC_010625	669629	670495	Paraburkholderia phymatum STM815	TagJ
T6CP002887	T6SS00287	NC_010717	3856759	3859491	Xanthomonas oryzae pv. oryzae PXO99A	TssH
T6CP002888	T6SS00287	NC_010717	3859577	3860668	Xanthomonas oryzae pv. oryzae PXO99A	TssG
T6CP002889	T6SS00287	NC_010717	3860632	3862467	Xanthomonas oryzae pv. oryzae PXO99A	TssF
T6CP002890	T6SS00287	NC_010717	3862470	3862958	Xanthomonas oryzae pv. oryzae PXO99A	TssE
T6CP002891	T6SS00287	NC_010717	3863106	3863603	Xanthomonas oryzae pv. oryzae PXO99A	TssD
T6CP002892	T6SS00287	NC_010717	3863745	3865241	Xanthomonas oryzae pv. oryzae PXO99A	TssC
T6CP002893	T6SS00287	NC_010717	3865245	3865745	Xanthomonas oryzae pv. oryzae PXO99A	TssB
T6CP002894	T6SS00287	NC_010717	3866667	3867275	Xanthomonas oryzae pv. oryzae PXO99A	TssJ
T6CP002895	T6SS00287	NC_010717	3867427	3868761	Xanthomonas oryzae pv. oryzae PXO99A	TssK
T6CP002896	T6SS00287	NC_010717	3868758	3869549	Xanthomonas oryzae pv. oryzae PXO99A	TssL
T6CP002897	T6SS00287	NC_010717	3869560	3872103	Xanthomonas oryzae pv. oryzae PXO99A	TssI
T6CP002898	T6SS00287	NC_010717	3872128	3875022	Xanthomonas oryzae pv. oryzae PXO99A	TssI
T6CP002899	T6SS00287	NC_010717	3875857	3877290	Xanthomonas oryzae pv. oryzae PXO99A	TssI
T6CP002900	T6SS00287	NC_010717	3877294	3879549	Xanthomonas oryzae pv. oryzae PXO99A	TssI
T6CP002953	T6SS00292	NC_011000	363015	363797	Burkholderia cenocepacia J2315	TssL
T6CP002954	T6SS00292	NC_011000	363794	365140	Burkholderia cenocepacia J2315	TssK
T6CP002955	T6SS00292	NC_011000	365246	365845	Burkholderia cenocepacia J2315	TssJ
T6CP002956	T6SS00292	NC_011000	366905	367420	Burkholderia cenocepacia J2315	TssB
T6CP002957	T6SS00292	NC_011000	367436	368926	Burkholderia cenocepacia J2315	TssC
T6CP002958	T6SS00292	NC_011000	368997	369500	Burkholderia cenocepacia J2315	TssD
T6CP002959	T6SS00292	NC_011000	369563	370048	Burkholderia cenocepacia J2315	TssE
T6CP002960	T6SS00292	NC_011000	370125	371960	Burkholderia cenocepacia J2315	TssF
T6CP002961	T6SS00292	NC_011000	371924	373024	Burkholderia cenocepacia J2315	TssG
T6CP002962	T6SS00292	NC_011000	373066	375735	Burkholderia cenocepacia J2315	TssH
T6CP002963	T6SS00292	NC_011000	375780	376901	Burkholderia cenocepacia J2315	TssA
T6CP002964	T6SS00292	NC_011000	378936	382880	Burkholderia cenocepacia J2315	TssM
T6CP011387	T6SS00292	NC_011000	376995	377945	Burkholderia cenocepacia J2315	TagL
T6CP003059	T6SS00301	NC_011205	305501	306556	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssA
T6CP003060	T6SS00301	NC_011205	306567	307502	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssG
T6CP003061	T6SS00301	NC_011205	309412	309906	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssE
T6CP003062	T6SS00301	NC_011205	311984	314623	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssH
T6CP003063	T6SS00301	NC_011205	314723	315265	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssB
T6CP003064	T6SS00301	NC_011205	315289	316797	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssC
T6CP003065	T6SS00301	NC_011205	317961	318446	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssD
T6CP003066	T6SS00301	NC_011205	318558	319049	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssJ
T6CP003067	T6SS00301	NC_011205	319053	320396	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssK
T6CP003068	T6SS00301	NC_011205	320393	321697	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssL
T6CP003069	T6SS00301	NC_011205	323143	327012	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssM
T6CP003070	T6SS00301	NC_011205	329155	331344	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TssI
T6CP012767	T6SS00301	NC_011205	309903	310727	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	TagJ
T6CP003082	T6SS00303	NC_011274	1116332	1119853	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssM
T6CP003083	T6SS00303	NC_011274	1122020	1124683	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssH
T6CP003084	T6SS00303	NC_011274	1124696	1125454	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssL
T6CP003085	T6SS00303	NC_011274	1125459	1126790	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssK
T6CP003086	T6SS00303	NC_011274	1126793	1127326	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssJ
T6CP003087	T6SS00303	NC_011274	1128634	1129728	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssG
T6CP003088	T6SS00303	NC_011274	1129686	1131599	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssF
T6CP003089	T6SS00303	NC_011274	1131957	1133429	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssC
T6CP003090	T6SS00303	NC_011274	1133720	1134232	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssB
T6CP003091	T6SS00303	NC_011274	1135593	1137704	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssI
T6CP008716	T6SS00303	NC_011274	1114451	1114930	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssD
T6CP008717	T6SS00303	NC_011274	1114918	1116549	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssA
T6CP008718	T6SS00303	NC_011274	1119872	1121167	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssA
T6CP008719	T6SS00303	NC_011274	1134853	1135371	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	TssD
T6CP011699	T6SS00303	NC_011274	1127323	1128621	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	FHA
T6CP011700	T6SS00303	NC_011274	1137806	1141114	Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	PAAR
T6CP003155	T6SS00312	NC_011595	2367193	2367999	Acinetobacter baumannii AB307-0294	TssL
T6CP003156	T6SS00312	NC_011595	2368017	2369381	Acinetobacter baumannii AB307-0294	TssK
T6CP003157	T6SS00312	NC_011595	2369398	2370492	Acinetobacter baumannii AB307-0294	TssA
T6CP003158	T6SS00312	NC_011595	2370516	2373194	Acinetobacter baumannii AB307-0294	TssH
T6CP003159	T6SS00312	NC_011595	2375463	2379287	Acinetobacter baumannii AB307-0294	TssM
T6CP003160	T6SS00312	NC_011595	2380727	2381725	Acinetobacter baumannii AB307-0294	TssG
T6CP003161	T6SS00312	NC_011595	2381689	2383500	Acinetobacter baumannii AB307-0294	TssF
T6CP003162	T6SS00312	NC_011595	2383517	2383993	Acinetobacter baumannii AB307-0294	TssE
T6CP003163	T6SS00312	NC_011595	2384073	2384576	Acinetobacter baumannii AB307-0294	TssD
T6CP003164	T6SS00312	NC_011595	2384626	2386107	Acinetobacter baumannii AB307-0294	TssC
T6CP003165	T6SS00312	NC_011595	2386100	2386603	Acinetobacter baumannii AB307-0294	TssB
T6CP011713	T6SS00312	NC_011595	2373416	2373679	Acinetobacter baumannii AB307-0294	PAAR
T6CP011714	T6SS00312	NC_011595	2373696	2374463	Acinetobacter baumannii AB307-0294	TagL
T6CP003485	T6SS00343	NC_012724	397352	398143	Burkholderia glumae BGR1	TssL
T6CP003486	T6SS00343	NC_012724	398140	399486	Burkholderia glumae BGR1	TssK
T6CP003487	T6SS00343	NC_012724	399588	400205	Burkholderia glumae BGR1	TssJ
T6CP003488	T6SS00343	NC_012724	401263	401802	Burkholderia glumae BGR1	TssB
T6CP003489	T6SS00343	NC_012724	401817	403307	Burkholderia glumae BGR1	TssC
T6CP003490	T6SS00343	NC_012724	403385	403888	Burkholderia glumae BGR1	TssD
T6CP003491	T6SS00343	NC_012724	403965	404447	Burkholderia glumae BGR1	TssE
T6CP003492	T6SS00343	NC_012724	404540	406378	Burkholderia glumae BGR1	TssF
T6CP003493	T6SS00343	NC_012724	406342	407439	Burkholderia glumae BGR1	TssG
T6CP003494	T6SS00343	NC_012724	407505	410174	Burkholderia glumae BGR1	TssH
T6CP003495	T6SS00343	NC_012724	410265	411407	Burkholderia glumae BGR1	TssA
T6CP003496	T6SS00343	NC_012724	413562	417437	Burkholderia glumae BGR1	TssM
T6CP011752	T6SS00343	NC_012724	411501	412568	Burkholderia glumae BGR1	TagL
T6CP003497	T6SS00344	NC_012731	2298860	2299351	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssB
T6CP003498	T6SS00344	NC_012731	2299394	2300938	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssC
T6CP003499	T6SS00344	NC_012731	2300948	2302291	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssK
T6CP003500	T6SS00344	NC_012731	2305440	2308094	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssH
T6CP003501	T6SS00344	NC_012731	2308087	2310786	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssI
T6CP003502	T6SS00344	NC_012731	2318471	2321926	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssM
T6CP003503	T6SS00344	NC_012731	2325154	2326908	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssF
T6CP003504	T6SS00344	NC_012731	2326872	2327957	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssG
T6CP003505	T6SS00344	NC_012731	2327935	2328477	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssJ
T6CP009312	T6SS00344	NC_012731	2302288	2302977	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssL
T6CP009456	T6SS00344	NC_012731	2304685	2305176	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssD
T6CP009457	T6SS00344	NC_012731	2321926	2323524	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssA
T6CP011753	T6SS00344	NC_012731	2323555	2324610	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	PAAR
T6CP011754	T6SS00344	NC_012731	2302974	2304680	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TagL
T6CP003506	T6SS00345	NC_012731	3192317	3192853	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssJ
T6CP003507	T6SS00345	NC_012731	3192834	3193850	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssG
T6CP003508	T6SS00345	NC_012731	3193880	3195643	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssF
T6CP003509	T6SS00345	NC_012731	3195777	3199187	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssM
T6CP003510	T6SS00345	NC_012731	3208236	3210722	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssI
T6CP003511	T6SS00345	NC_012731	3213532	3214872	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssK
T6CP008791	T6SS00345	NC_012731	3190436	3191851	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssA
T6CP008792	T6SS00345	NC_012731	3191871	3192314	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssE
T6CP009313	T6SS00345	NC_012731	3212882	3213535	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TssL
T6CP011755	T6SS00345	NC_012731	3200332	3200598	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	PAAR
T6CP011756	T6SS00345	NC_012731	3211181	3212878	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	TagL
T6CP003512	T6SS00346	NC_012779	2637967	2638992	Edwardsiella ictaluri 93-146	TssG
T6CP003513	T6SS00346	NC_012779	2639112	2641733	Edwardsiella ictaluri 93-146	TssH
T6CP003514	T6SS00346	NC_012779	2641724	2643709	Edwardsiella ictaluri 93-146	TssI
T6CP003515	T6SS00346	NC_012779	2644120	2645190	Edwardsiella ictaluri 93-146	TssA
T6CP003516	T6SS00346	NC_012779	2645177	2645806	Edwardsiella ictaluri 93-146	TssJ
T6CP003517	T6SS00346	NC_012779	2645903	2647291	Edwardsiella ictaluri 93-146	TssK
T6CP003518	T6SS00346	NC_012779	2647935	2651717	Edwardsiella ictaluri 93-146	TssM
T6CP008364	T6SS00346	NC_012779	2631739	2632251	Edwardsiella ictaluri 93-146	TssB
T6CP008365	T6SS00346	NC_012779	2632251	2633738	Edwardsiella ictaluri 93-146	TssC
T6CP008366	T6SS00346	NC_012779	2635649	2636125	Edwardsiella ictaluri 93-146	TssE
T6CP008367	T6SS00346	NC_012779	2636129	2637970	Edwardsiella ictaluri 93-146	TssF
T6CP009343	T6SS00346	NC_012779	2633808	2634299	Edwardsiella ictaluri 93-146	TssD
T6CP009344	T6SS00346	NC_012779	2647288	2647938	Edwardsiella ictaluri 93-146	TssL
T6CP011757	T6SS00346	NC_012779	2643804	2644106	Edwardsiella ictaluri 93-146	PAAR
T6CP003806	T6SS00372	NC_013508	2555386	2555901	Edwardsiella tarda EIB202	TssB
T6CP003807	T6SS00372	NC_013508	2555898	2557385	Edwardsiella tarda EIB202	TssC
T6CP003808	T6SS00372	NC_013508	2557455	2557946	Edwardsiella tarda EIB202	TssD
T6CP003809	T6SS00372	NC_013508	2559257	2559733	Edwardsiella tarda EIB202	TssE
T6CP003810	T6SS00372	NC_013508	2559737	2561578	Edwardsiella tarda EIB202	TssF
T6CP003811	T6SS00372	NC_013508	2561575	2562600	Edwardsiella tarda EIB202	TssG
T6CP003812	T6SS00372	NC_013508	2562752	2565331	Edwardsiella tarda EIB202	TssH
T6CP003813	T6SS00372	NC_013508	2565331	2567316	Edwardsiella tarda EIB202	TssI
T6CP003814	T6SS00372	NC_013508	2567727	2568794	Edwardsiella tarda EIB202	TssA
T6CP003815	T6SS00372	NC_013508	2569522	2570910	Edwardsiella tarda EIB202	TssK
T6CP003816	T6SS00372	NC_013508	2570907	2571557	Edwardsiella tarda EIB202	TssL
T6CP003817	T6SS00372	NC_013508	2571554	2575336	Edwardsiella tarda EIB202	TssM
T6CP009342	T6SS00372	NC_013508	2568781	2569422	Edwardsiella tarda EIB202	TssJ
T6CP011796	T6SS00372	NC_013508	2567411	2567713	Edwardsiella tarda EIB202	PAAR
T6CP003901	T6SS00381	NC_013892	270061	270558	Xenorhabdus bovienii SS-2004	TssB
T6CP003902	T6SS00381	NC_013892	270579	272057	Xenorhabdus bovienii SS-2004	TssC
T6CP003903	T6SS00381	NC_013892	272501	274333	Xenorhabdus bovienii SS-2004	TssF
T6CP003904	T6SS00381	NC_013892	274297	275349	Xenorhabdus bovienii SS-2004	TssG
T6CP003905	T6SS00381	NC_013892	276634	277188	Xenorhabdus bovienii SS-2004	TssJ
T6CP003906	T6SS00381	NC_013892	277191	278543	Xenorhabdus bovienii SS-2004	TssK
T6CP003907	T6SS00381	NC_013892	278576	279313	Xenorhabdus bovienii SS-2004	TssL
T6CP003908	T6SS00381	NC_013892	279323	282037	Xenorhabdus bovienii SS-2004	TssH
T6CP003909	T6SS00381	NC_013892	284932	288501	Xenorhabdus bovienii SS-2004	TssM
T6CP003910	T6SS00381	NC_013892	289991	293062	Xenorhabdus bovienii SS-2004	TssI
T6CP008854	T6SS00381	NC_013892	268621	269139	Xenorhabdus bovienii SS-2004	TssD
T6CP008855	T6SS00381	NC_013892	272060	272500	Xenorhabdus bovienii SS-2004	TssE
T6CP008856	T6SS00381	NC_013892	288584	289975	Xenorhabdus bovienii SS-2004	TssA
T6CP009380	T6SS00381	NC_013892	283499	284935	Xenorhabdus bovienii SS-2004	TssA
T6CP011808	T6SS00381	NC_013892	275355	276650	Xenorhabdus bovienii SS-2004	FHA
T6CP003911	T6SS00382	NC_013892	2053604	2056237	Xenorhabdus bovienii SS-2004	TssH
T6CP003912	T6SS00382	NC_013892	2056281	2057357	Xenorhabdus bovienii SS-2004	TssG
T6CP003913	T6SS00382	NC_013892	2057415	2059289	Xenorhabdus bovienii SS-2004	TssF
T6CP003914	T6SS00382	NC_013892	2059309	2059863	Xenorhabdus bovienii SS-2004	TssE
T6CP003915	T6SS00382	NC_013892	2062237	2063739	Xenorhabdus bovienii SS-2004	TssC
T6CP003916	T6SS00382	NC_013892	2063743	2064294	Xenorhabdus bovienii SS-2004	TssB
T6CP003917	T6SS00382	NC_013892	2064485	2065540	Xenorhabdus bovienii SS-2004	TssA
T6CP003918	T6SS00382	NC_013892	2065703	2069218	Xenorhabdus bovienii SS-2004	TssM
T6CP003919	T6SS00382	NC_013892	2069231	2070442	Xenorhabdus bovienii SS-2004	TssL
T6CP003920	T6SS00382	NC_013892	2070486	2071829	Xenorhabdus bovienii SS-2004	TssK
T6CP003921	T6SS00382	NC_013892	2071856	2072368	Xenorhabdus bovienii SS-2004	TssJ
T6CP003922	T6SS00382	NC_013892	2077318	2079174	Xenorhabdus bovienii SS-2004	TssI
T6CP009381	T6SS00382	NC_013892	2061568	2062071	Xenorhabdus bovienii SS-2004	TssD
T6CP011809	T6SS00382	NC_013892	2059923	2061479	Xenorhabdus bovienii SS-2004	FHA
T6CP004055	T6SS00395	NC_014121	1551980	1552483	Enterobacter cloacae subsp. cloacae ATCC 13047	TssJ
T6CP004056	T6SS00395	NC_014121	1552509	1553852	Enterobacter cloacae subsp. cloacae ATCC 13047	TssK
T6CP004057	T6SS00395	NC_014121	1553870	1555108	Enterobacter cloacae subsp. cloacae ATCC 13047	TssL
T6CP004058	T6SS00395	NC_014121	1555111	1558731	Enterobacter cloacae subsp. cloacae ATCC 13047	TssM
T6CP004059	T6SS00395	NC_014121	1559476	1560492	Enterobacter cloacae subsp. cloacae ATCC 13047	TssA
